Experiment/Config,Modules,Runs,Seeds,Best_mAP50-95_mean,Best_mAP50-95_std,Best_mAP50-95_max,Best_mAP50-95_min,Best_mAP50_mean
MSAInnov-P2Decoder,MSAInnov + P2 decoder branch,1,-,0.505,0.0,0.505,0.505,0.831
BCR beta=0.10,BCRSODAttention(beta=0.10),3,"0,1,2",0.5,0.0008164965809277268,0.501,0.499,0.834
MSPConv,MSPConv,1,-,0.5,0.0,0.5,0.5,0.834
P2Detail,P2Detail module,1,-,0.498,0.0,0.498,0.498,0.844
BCR-DySample,BCRSODAttention + DySample,3,"0,1,2",0.49733333333333335,0.005249338582674546,0.502,0.49,0.8286666666666666
H2Net,H2Net modules,3,"0,-,-",0.49733333333333335,0.006182412330330475,0.506,0.492,0.8313333333333333
MSA-SODAttention-Original,MSAOriginalSODAttention,3,"0,1,2",0.49733333333333335,0.002867441755680878,0.501,0.494,0.838
HEMS-CSPMSEIE,CSPMSEIE / HEMS module,1,-,0.497,0.0,0.497,0.497,0.822
HFPG,HighFrequencyPriorGuidance,1,-,0.496,0.0,0.496,0.496,0.822
BCR beta=0.05,BCRSODAttention(beta=0.05),3,"0,1,2",0.49499999999999994,0.005715476066494087,0.502,0.488,0.827
BCR-SPDDownsample,BCRSODAttention + SPDDownsample,1,0,0.493,0.0,0.493,0.493,0.813
BCR beta=0.20,BCRSODAttention(beta=0.20),1,0,0.492,0.0,0.492,0.492,0.847
SODGA-P2Detail,SODGuidedAttention + P2Detail,1,-,0.492,0.0,0.492,0.492,0.817
DySample,DySample,1,-,0.491,0.0,0.491,0.491,0.827
RT-DETR-R18 Baseline,No added module (baseline),4,"0,1,-,-",0.4895,0.002291287847477922,0.492,0.486,0.8245
SODGA-Calib,SODGuidedAttention + calibration,2,"0,1",0.4895,0.007500000000000007,0.497,0.482,0.8154999999999999
SODGA,SODGuidedAttention,5,"1,-,-,-,-",0.4894,0.009414881836751864,0.507,0.481,0.8295999999999999
SODGA-Stable,SODGuidedAttentionStable,1,-,0.485,0.0,0.485,0.485,0.827
MSAInnov,MSAInnov,1,-,0.484,0.0,0.484,0.484,0.824
SODGA-CAFM,SODGuidedAttention + CAFM,1,-,0.479,0.0,0.479,0.479,0.822
IRS-PSConv,PSConv,1,0,0.478,0.0,0.478,0.478,0.826
MSFFFE,MSFFFE,1,-,0.474,0.0,0.474,0.474,0.817
